index_id,index_name,name_vn,value,unit,source
1,Managerial ownership,Sở hữu của ban điều hành,0.0003%,%,computed_from_bctn
2,State ownership,Sở hữu nhà nước,36.00%,%,bctn
3,Institutional ownership,Sở hữu tổ chức,90.79%,%,computed_from_bctn
4,Foreign ownership,Sở hữu nước ngoài,9.01%,%,bctn
5,Total share outstanding,Tổng số cổ phiếu lưu hành,641281186,shares,bctn
6,Total sales revenue and Net sales revenue,Doanh thu thuần,34979000000000,VND,bctn
7,Total assets,Tổng tài sản,28619539457589,VND,pdf
8,Selling expenses,Chi phí bán hàng,4038486338919,VND,pdf
9,General and administrative expenditure,Chi phí quản lý doanh nghiệp,347706978997,VND,pdf
10,Value of intangible assets,Tài sản cố định vô hình,847741647492,VND,pdf
11,Manufacturing overhead,Chi phí sản xuất chung,,VND,pdf
12,Net operating income,Lợi nhuận thuần từ hoạt động kinh doanh,5226653233453,VND,pdf
13,Consumption of raw material,Chi phí nguyên vật liệu,2045092919850,VND,pdf
14,Merchandise purchase of the year,Mua hàng hóa,,VND,pdf
15,Work-in-progess goods purchase,Chi phí sản xuất kinh doanh dở dang,,VND,pdf
16,Outside manufacturing expenses,Chi phí dịch vụ mua ngoài,4193220170454,VND,pdf
17,Production cost,Tổng chi phí sản xuất,6847750875586,VND,pdf
18,R&D expenditure,Chi phí nghiên cứu phát triển,0,VND,bctn_no_separate_disclosure
19,Product innovation,Đổi mới sản phẩm,1,binary,bctn_supported
20,Process innovation,Đổi mới quy trình,1,binary,bctn_supported
21,Net Income,Lợi nhuận sau thuế,4559656824657,VND,pdf
22,Total shareholders' equity,Vốn chủ sở hữu,20246947402325,VND,pdf
23,Market value of equity,Vốn hóa thị trường,88020161406486.97,VND,yahoo
24,Total liabilities,Nợ phải trả,8372592055264,VND,pdf
25,Net cash from operating activities,Lưu chuyển tiền thuần từ HĐKD,1612281010873,VND,pdf
26,Capital expenditure,Chi mua sắm TSCĐ,21504308649,VND,pdf
27,Cash flows from investing activities,Lưu chuyển tiền từ HĐĐT,944753495602,VND,pdf
28,Cash and cash equivalent,Tiền và tương đương tiền,2924304281432,VND,pdf
29,Long-term debt,Vay và nợ thuê tài chính dài hạn,51602316000,VND,pdf
30,Current assets,Tài sản ngắn hạn,23225562528592,VND,pdf
31,Current liabiltiies,Nợ ngắn hạn,8286932318237,VND,pdf
32,Growth ratio,Tỷ lệ tăng trưởng,0.0,%,computed
33,Total inventory,Hàng tồn kho,614003265077,VND,pdf
34,Divident payment,Cổ tức đã trả,2244409440700,VND,pdf
35,EPS,Lãi cơ bản trên cổ phiếu,,VND,pdf
36,Number of employees,Số lượng nhân viên,8550,người,bctn
37,"Net plant, property and equipment",Tài sản cố định hữu hình,407699420104,VND,pdf
38,Firm age,Tuổi công ty,147,years,computed
